"state","avg_payment","avg_quality_rating","quality_category"
DC,31118.23,2.29,Below average
AK,24894.04,2.88,Below average
HI,23849.87,3.09,Average
NY,23533.25,2.53,Below average
CA,23330.24,3.01,Average
MD,23097.90,3.10,Average
MN,21973.86,3.80,Average
OR,21804.33,3.21,Average
CT,19892.59,3.19,Average
UT,19657.61,4.09,Above average
WA,19625.16,3.12,Average
MA,19237.03,3.21,Average
CO,18847.70,3.87,Average
ME,17888.62,3.05,Average
NE,17775.36,3.35,Average
WY,17713.42,3.00,Average
NJ,17701.41,2.90,Below average
AZ,17502.99,3.02,Average
WI,17452.52,3.77,Average
PA,17284.74,3.28,Average
RI,17208.00,3.36,Average
TX,17161.97,3.24,Average
DE,17023.11,3.43,Average
NH,16999.22,3.25,Average
GA,16878.12,2.68,Below average
IL,16868.68,2.91,Below average
NV,16841.66,2.72,Below average
SD,16788.29,4.08,Above average
NC,16676.37,3.01,Average
ID,16458.17,3.59,Average
NM,16373.55,2.45,Below average
VA,16328.58,3.46,Average
OH,16179.88,3.42,Average
TN,15950.06,3.02,Average
MI,15931.05,2.99,Below average
KS,15873.99,3.45,Average
MT,15781.30,3.63,Average
SC,15643.44,3.27,Average
ND,15580.82,3.56,Average
MO,15432.19,3.10,Average
OK,15027.53,3.30,Average
AL,14684.19,2.57,Below average
KY,14422.04,2.71,Below average
FL,14350.43,2.83,Below average
IA,14323.94,3.02,Average
WV,14265.52,2.63,Below average
IN,14132.41,3.33,Average
LA,13825.32,2.90,Below average
AR,13634.37,2.63,Below average
MS,13172.90,2.49,Below average
VT,12526.38,2.85,Below average
