"state","total_patients","num_hospitals","avg_payment","patients_per_hospital"
DE,26876,6,17023.11,4479
MA,183445,54,19237.03,3397
MD,130663,44,23097.90,2970
ND,17156,6,15580.82,2859
NJ,172827,63,17701.41,2743
DC,16246,6,31118.23,2708
FL,442286,166,14350.43,2664
NY,329669,129,23533.25,2556
VA,153255,71,16328.58,2159
CT,55936,26,19892.59,2151
NV,43038,22,16841.66,1956
IL,223982,115,16868.68,1948
NH,24659,13,16999.22,1897
NC,152408,81,16676.37,1882
WA,84147,45,19625.16,1870
SC,93263,51,15643.44,1829
PA,227069,129,17284.74,1760
WV,37699,23,14265.52,1639
MN,73158,45,21973.86,1626
AZ,93809,58,17502.99,1617
MO,104952,65,15432.19,1615
MI,140175,87,15931.05,1611
CA,441929,275,23330.24,1607
RI,13958,9,17208.00,1551
VT,9306,6,12526.38,1551
TN,118691,77,15950.06,1541
OH,177100,116,16179.88,1527
IA,46389,31,14323.94,1496
GA,128054,88,16878.12,1455
SD,21074,15,16788.29,1405
NE,33434,24,17775.36,1393
TX,332232,240,17161.97,1384
IN,110234,80,14132.41,1378
MT,15027,11,15781.30,1366
AR,55312,42,13634.37,1317
KY,73349,60,14422.04,1222
OR,36366,30,21804.33,1212
AK,9387,8,24894.04,1173
KS,51595,45,15873.99,1147
MS,55640,51,13172.90,1091
ID,16326,15,16458.17,1088
OK,71453,67,15027.53,1066
WI,66915,65,17452.52,1029
AL,70322,69,14684.19,1019
CO,46569,48,18847.70,970
HI,10883,12,23849.87,907
ME,13805,17,17888.62,812
LA,60953,76,13825.32,802
UT,23134,29,19657.61,798
NM,18370,25,16373.55,735
WY,5800,9,17713.42,644
